id,is_iceberg
5941774d,0.0699889660
4023181e,0.8903105855
b20200e4,0.9999880791
e7f018bb,0.8974264860
4371c8c3,0.9880316257
a8d9b1fd,0.6396062374
29e7727e,0.3661532998
92a51ffb,0.9464898705
c769ac97,0.0000003820
aee0547d,0.0000002538
565b28ac,0.0000034697
e04e9775,0.9846004844
8e8161d1,0.0033599173
4cf4d256,0.9170312285
139e5324,0.9994677901
f156976f,0.0100643672
68a117cc,0.5291927457
d9aa7a56,0.1466792226
9005b143,0.9755571485
5f6d3988,0.7798071504
9ad70954,0.8369482160
b9087b9e,0.3735573292
a39a1427,0.9138404727
82fbe8ed,0.4798900783
1fae4879,0.0000000000
6dd8f13d,0.9846981168
bbad5958,0.0263311733
54527583,0.7471112013
be8fa29c,0.6622375846
81a3328f,0.9723184109
1a3c0ab3,0.9999970198
4deeeb8b,0.8164638281
ac6d5632,0.5293045044
472dadb5,0.9633713365
96093f95,0.8192431927
f5b4e3df,0.8583167195
e01a3c92,0.0109086027
001680af,0.9661467671
8e639f33,0.5404251814
a2c16612,0.8791020513
a6d76474,0.0000000137
19c47684,0.6055541039
015827b6,0.9784566164
7df7f7ce,0.8967258930
0bbf1a3f,0.8562155962
636cfbb7,0.9386489391
7370030a,0.9968647361
43aa97ad,0.0003085404
ba2b5e63,0.9752277732
dfdd335b,0.9770210385
e79b13dc,0.9831505418
dc32b195,0.4779150188
6d868590,0.8831033707
75fa59aa,0.9965928197
ffe50836,0.7444805503
a7bfd784,0.9732980728
b3d569e3,0.8984992504
6c538c5b,0.2388391495
5c7c15f4,1.0000000000
0b745139,0.9823139906
fd14608e,0.8546043038
f0bc8305,0.9197128415
a10ccb28,0.9364361167
543304c7,0.8561477661
6c3a4078,0.0000000004
9b73cc75,0.9348279238
5c6c71b1,0.0841652900
09ee9186,0.9400268793
207c35cf,0.9333060384
153c813e,0.9999998808
5605d58b,0.3616065681
642ca396,0.0683926940
d32d72c0,0.9596120715
16646a17,0.8937746882
384074af,0.3768439591
69bf1e8c,0.9721040726
9e90a054,0.4471237659
89dbe7f7,0.8964594007
dbd27d22,0.9464615583
a2ea1561,0.8530141115
d63402af,0.8849343657
1ac8bb92,0.8830622435
8beffca5,0.9937397242
46741f3e,0.0007762741
e5ee6aa7,0.9997398257
5ecd892b,0.9676341414
69892166,0.1071860343
2f725a81,0.3122354150
810abfe4,0.9999986887
e6f973e6,0.9780642986
c60a5c46,0.9711017609
c42b9e08,0.0267144069
c3f00c23,0.9999855757
5307fdb8,0.9895915389
3e4f005e,0.0060364427
4a4cc2e0,0.8888363242
9bdd88d1,0.0000000432
0d832bed,0.0747706369
14a134fa,0.9850062728
78a41676,0.0005339172
0bd4658e,0.9286691546
4a311bb0,0.8082571030
f939c817,0.8544455171
956adc4d,0.9863516092
f8a119f5,0.7746896744
61faa1ad,0.9862664938
6725eb3e,0.9295458198
17b3a8fd,0.0172601100
49a88dfc,0.0060318066
2d6ec645,0.8579758406
0d4d77ba,0.6342621446
3ee672a2,0.9954559803
738b41fd,0.9700185657
f7fb320d,0.4142694771
b42fad18,0.0000000029
4ab8b00a,0.4099565744
f7870f2b,0.0706317574
4978666a,0.3614997566
f1b0d6c7,0.0089277299
5642407f,0.1886990219
36d4ff92,0.9670475721
4139aba2,0.8289204836
7585ce58,0.4369830489
33e25984,0.9686379433
ac46f3c9,0.9971175194
fc34a5b8,0.9239495397
85c36a8f,0.0911300406
b2d8a426,0.4618173540
13ec60d1,0.8864929676
9d440f42,0.4799584448
1c0a891e,0.5868961215
981c3bc3,0.9955149293
295604f4,0.9312023520
16ca16c3,0.9886090755
b4dda837,0.7643399239
88d088ef,0.0003625672
1b4fa160,0.9296888709
f371bd82,0.9995296001
b130a0b7,0.9500585794
ebf1de82,0.9928183556
01e651c3,0.9989596605
51b1fecc,0.7645145059
fa635a31,0.9998888969
97b7d789,0.9809399247
2f598053,0.9667719007
c0e3e148,0.9665117860
cfa175a8,0.5327102542
3d7e09d8,0.7409917712
44a13d1b,0.9431143403
c66b0948,0.6611362696
976a6d64,0.0227156393
8bbd8909,0.9272301197
522890fd,0.9953796864
f23a3b95,0.7477036119
680039dc,0.9606931210
93028e53,0.0905418321
22a16932,0.9233949184
7d8126d2,0.4409433901
ba2ecd75,0.0000000043
8071bdd7,0.9567864537
96d5aeee,0.0000065573
154be68f,0.9557504058
d8c2bfe2,0.9455816746
f76d47b0,0.9910460114
0e781ade,0.9998581409
13cf6060,0.0000000022
cd99f710,0.9985870123
d10005bb,0.9941556454
3a31445f,0.9542044401
3157202d,0.9762442112
6ee64703,0.4480594397
e5de8685,0.4755983353
02cc70ba,0.1120244190
50984a87,0.7427123785
fa94957a,0.9421712756
eab406b4,0.9003481865
3ad39398,0.8405969739
9ecf3802,0.9881965518
6048ae7b,0.0000000063
9dc68871,0.0076037892
13701465,0.5845314264
8d8779f3,0.5273457766
0712f269,0.9592694640
722c2597,0.0000026803
478a2b08,0.5924232006
38f5fb41,0.9068042636
c52ad74d,0.9175192714
0c85fd09,0.0000001657
f1582cba,0.8612519503
ff836697,0.7890256047
ddfe4802,0.7427390814
3cef3bc7,0.7045460343
6a21542b,0.2681728601
150e23c4,0.9833852053
078c6d99,0.9805564880
1dcd1dc3,0.4433223605
39967e45,0.5527354479
6b6333aa,1.0000000000
4ae61433,0.8062881231
f96362e0,0.4223225117
97a88aac,0.8870034218
427ae8ce,0.8529343009
209d4b15,0.3964616060
64b453bd,0.0000001761
0f5a484e,0.2401356399
5ac74969,0.5156111717
736ed43e,0.8512027860
8533795f,0.8117095828
f5b54fb6,0.6730595827
6eb4c041,0.5668678284
97afdf42,0.9329583049
1bb488db,0.9937361479
f132e44d,0.9998914003
d3c2f140,0.9130310416
1756794d,0.5802280903
9efcc11f,0.0000033819
14c966cf,0.5609284639
59cfe4d1,0.3413177133
883151f4,0.9987921119
34c4c9ff,0.4535900056
70b4c2eb,0.7229424715
96a337d9,0.4140285552
7fe89ffa,0.7884176970
057c7a22,0.0000000038
451cc057,0.9729831219
05076700,0.0000000088
dc52f6c1,0.4527853131
b03a59f9,0.3035032153
129ed4b0,0.6044282913
fb611563,0.9154189229
ac32e6f1,0.7788639665
c05c5ab0,0.5661874413
3163d5ed,0.0644753873
02096ca4,0.6533524990
e92496c0,0.0002587469
1a9e2c50,0.9494692087
0864e334,0.9698002338
d976faeb,0.9726637006
1d7b342f,0.9561122656
281bc1ea,0.0000002438
bea9f0cf,0.3224250078
f4afa0e6,0.0000000009
e1b5ef69,0.8913642168
b50539fd,0.9991937280
2a8c9c15,0.6546756625
157ebb0c,0.9117653966
247d3614,0.0179546457
0c6cc0cb,0.8787898421
aae88d39,0.9975506663
0c77b464,0.3893308938
963cf5ea,0.8087602258
1b371d8b,0.9012519717
225bc00f,0.0000000004
bc0a4eec,0.9354076982
1099782e,0.7306193709
a18feadd,0.9254158735
ad7f4932,0.2482342720
5f8f831e,0.9216277599
b5167c35,0.9854210019
0230b06d,0.3504847586
f8d7f7ba,0.8168610334
08bd1053,0.9879907966
58e4dc8c,0.2601213455
4793ce8e,0.0934920833
304caab4,0.0000000013
f2ee6d7f,0.9811728597
e1f9c0e4,0.5994304419
8e40401c,0.9892990589
5d9eaba2,0.1474217474
55e7562c,0.7455379367
9da6cb4b,0.0000000014
c3c1c8ec,0.0008149450
3b38698e,0.2087178677
6c9eb909,0.7778873444
482a3d1d,0.0715628192
0e9918f0,0.8849375248
ef894fd2,0.9999982119
4b82e7f7,0.9783355594
b9cdd7fb,0.0000000008
