id,is_iceberg
5941774d,0.4700348079
4023181e,0.4395893216
b20200e4,0.4002180696
e7f018bb,0.5696486831
4371c8c3,0.5891069770
a8d9b1fd,0.3655409813
29e7727e,0.5793429017
92a51ffb,0.4566189647
c769ac97,0.3800758719
aee0547d,0.4124834239
565b28ac,0.4181384146
e04e9775,0.4565941691
8e8161d1,0.6731127501
4cf4d256,0.4563563168
139e5324,0.3520710170
f156976f,0.4201850593
68a117cc,0.3864363730
d9aa7a56,0.5892684460
9005b143,0.4275193214
5f6d3988,0.4565744698
9ad70954,0.4342572987
b9087b9e,0.5592660308
a39a1427,0.4097589552
82fbe8ed,0.5834637284
1fae4879,0.4450479746
6dd8f13d,0.4926235378
bbad5958,0.4284826815
54527583,0.3681202233
be8fa29c,0.4318004251
81a3328f,0.5606232285
1a3c0ab3,0.4260913432
4deeeb8b,0.4088105857
ac6d5632,0.4074175358
472dadb5,0.6263723969
96093f95,0.3889496326
f5b4e3df,0.6050512195
e01a3c92,0.5040926337
001680af,0.3805342615
8e639f33,0.4475718141
a2c16612,0.4625309706
a6d76474,0.7355896831
19c47684,0.4189623296
015827b6,0.3847818077
7df7f7ce,0.3661165237
0bbf1a3f,0.3637805283
636cfbb7,0.5092956424
7370030a,0.3799421191
43aa97ad,0.4028733075
ba2b5e63,0.5136054158
dfdd335b,0.3767057359
e79b13dc,0.5473061800
dc32b195,0.3649328351
6d868590,0.5270797014
75fa59aa,0.4020078182
ffe50836,0.3575225472
a7bfd784,0.5568249822
b3d569e3,0.4065355062
6c538c5b,0.5621826053
5c7c15f4,0.3885994852
0b745139,0.4733528495
fd14608e,0.4146931469
f0bc8305,0.6921220422
a10ccb28,0.5550207496
543304c7,0.3757152259
6c3a4078,0.4075952470
9b73cc75,0.3872522116
5c6c71b1,0.4115698040
09ee9186,0.3998737037
207c35cf,0.4226129949
153c813e,0.4134589732
5605d58b,0.5609229803
642ca396,0.4279565215
d32d72c0,0.4299004972
16646a17,0.5755210519
384074af,0.3659746051
69bf1e8c,0.4523495436
9e90a054,0.3845060766
89dbe7f7,0.3965256810
dbd27d22,0.3860492408
a2ea1561,0.4313182831
d63402af,0.3952648640
1ac8bb92,0.5283926129
8beffca5,0.4327084124
46741f3e,0.4222116172
e5ee6aa7,0.3802579045
5ecd892b,0.4469784498
69892166,0.5817659497
2f725a81,0.4520672858
810abfe4,0.4295513630
e6f973e6,0.4182101190
c60a5c46,0.4425514340
c42b9e08,0.5614401102
c3f00c23,0.4208479524
5307fdb8,0.4305819869
3e4f005e,0.4146459699
4a4cc2e0,0.5681731105
9bdd88d1,0.6407758594
0d832bed,0.5616019964
14a134fa,0.4103550315
78a41676,0.4120427668
0bd4658e,0.4021820724
4a311bb0,0.3760801852
f939c817,0.5855982900
956adc4d,0.4739817083
f8a119f5,0.4384334385
61faa1ad,0.4368810058
6725eb3e,0.6232466102
17b3a8fd,0.3947947919
49a88dfc,0.4029937983
2d6ec645,0.4295290411
0d4d77ba,0.3755747378
3ee672a2,0.5081023574
738b41fd,0.5371527672
f7fb320d,0.4366685450
b42fad18,0.4440111518
4ab8b00a,0.4512108564
f7870f2b,0.4695013165
4978666a,0.3901531696
f1b0d6c7,0.4784254134
5642407f,0.4137424827
36d4ff92,0.3925091922
4139aba2,0.4156458676
7585ce58,0.5787281394
33e25984,0.5968891382
ac46f3c9,0.4436908662
fc34a5b8,0.5250828266
85c36a8f,0.4549794495
b2d8a426,0.7063804269
13ec60d1,0.4347410798
9d440f42,0.3910409212
1c0a891e,0.4066406488
981c3bc3,0.5001783967
295604f4,0.4620666802
16ca16c3,0.3913294375
b4dda837,0.5471051335
88d088ef,0.4340429604
1b4fa160,0.3635251820
f371bd82,0.4392192662
b130a0b7,0.4475594163
ebf1de82,0.3552987874
01e651c3,0.5612307191
51b1fecc,0.4371617138
fa635a31,0.4312675893
97b7d789,0.4406930506
2f598053,0.4647074640
c0e3e148,0.4082814753
cfa175a8,0.3022724986
3d7e09d8,0.5573948026
44a13d1b,0.6235274673
c66b0948,0.3919546902
976a6d64,0.4306339025
8bbd8909,0.4544998407
522890fd,0.5700721145
f23a3b95,0.4171911776
680039dc,0.4338865876
93028e53,0.4010571837
22a16932,0.4939708710
7d8126d2,0.5055816770
ba2ecd75,0.3941806257
8071bdd7,0.4270448685
96d5aeee,0.4130635560
154be68f,0.4977627397
d8c2bfe2,0.3649602234
f76d47b0,0.7769448161
0e781ade,0.3326622546
13cf6060,0.5243082643
cd99f710,0.4378759265
d10005bb,0.5612751245
3a31445f,0.5390028954
3157202d,0.4347245395
6ee64703,0.3376775086
e5de8685,0.4612623751
02cc70ba,0.4765736461
50984a87,0.3482525051
fa94957a,0.4307336211
eab406b4,0.5129912496
3ad39398,0.3962778151
9ecf3802,0.4283046424
6048ae7b,0.4666633904
9dc68871,0.4943892658
13701465,0.4656224847
8d8779f3,0.3865380287
0712f269,0.4313907921
722c2597,0.4432208538
478a2b08,0.3569476306
38f5fb41,0.3976468742
c52ad74d,0.4984147847
0c85fd09,0.5163533688
f1582cba,0.5800967216
ff836697,0.4976859987
ddfe4802,0.4450019002
3cef3bc7,0.5698212981
6a21542b,0.4610380530
150e23c4,0.3850302398
078c6d99,0.5969462991
1dcd1dc3,0.3989673555
39967e45,0.3991402090
6b6333aa,0.3757748306
4ae61433,0.5577870011
f96362e0,0.3690970838
97a88aac,0.3262597024
427ae8ce,0.5262434483
209d4b15,0.5436158776
64b453bd,0.5348498225
0f5a484e,0.3850043118
5ac74969,0.5451782346
736ed43e,0.3566822708
8533795f,0.3890648782
f5b54fb6,0.4008783400
6eb4c041,0.4340111017
97afdf42,0.4812868536
1bb488db,0.4046822786
f132e44d,0.3824003339
