id,is_iceberg
5941774d,0.005586
4023181e,0.155272
b20200e4,0.004837
e7f018bb,0.999914
4371c8c3,0.473704
a8d9b1fd,0.053806
29e7727e,0.182285
92a51ffb,0.999990
c769ac97,0.000000
aee0547d,0.000000
565b28ac,0.000000
e04e9775,0.297314
8e8161d1,0.000010
4cf4d256,0.452555
139e5324,0.045071
f156976f,0.000027
68a117cc,0.000065
d9aa7a56,0.002494
9005b143,0.078022
5f6d3988,0.999189
9ad70954,0.069493
b9087b9e,0.391817
a39a1427,0.028006
82fbe8ed,0.073072
1fae4879,0.000000
6dd8f13d,0.000000
bbad5958,0.037652
54527583,0.102390
be8fa29c,0.089187
81a3328f,0.999993
1a3c0ab3,0.001084
4deeeb8b,0.386828
ac6d5632,0.207274
472dadb5,0.046022
96093f95,0.924731
f5b4e3df,0.749980
e01a3c92,0.229620
001680af,0.046110
8e639f33,0.118735
a2c16612,0.861401
a6d76474,0.000000
19c47684,0.068477
015827b6,0.010669
7df7f7ce,0.055334
0bbf1a3f,0.497929
636cfbb7,0.581430
7370030a,0.999301
43aa97ad,0.000000
ba2b5e63,0.999999
dfdd335b,0.250672
e79b13dc,0.000151
dc32b195,0.107771
6d868590,0.998906
75fa59aa,0.002254
ffe50836,0.046810
a7bfd784,0.999892
b3d569e3,0.000186
6c538c5b,0.007522
5c7c15f4,0.001298
0b745139,0.048507
fd14608e,0.089689
f0bc8305,0.064299
a10ccb28,0.999949
543304c7,0.181232
6c3a4078,0.000000
9b73cc75,0.109891
5c6c71b1,0.000629
09ee9186,0.076791
207c35cf,0.107406
153c813e,0.001028
5605d58b,0.210578
642ca396,0.000089
d32d72c0,0.200852
16646a17,0.991152
384074af,0.053024
69bf1e8c,0.524073
9e90a054,0.167396
89dbe7f7,0.999792
dbd27d22,0.141046
a2ea1561,0.112309
d63402af,0.146019
1ac8bb92,0.999995
8beffca5,0.017337
46741f3e,0.000000
e5ee6aa7,0.000914
5ecd892b,0.794551
69892166,0.000000
2f725a81,0.041433
810abfe4,0.000000
e6f973e6,0.190261
c60a5c46,0.058297
c42b9e08,0.423929
c3f00c23,0.010969
5307fdb8,0.996292
3e4f005e,0.000002
4a4cc2e0,0.970555
9bdd88d1,0.000000
0d832bed,0.006789
14a134fa,0.000023
78a41676,0.000000
0bd4658e,0.022959
4a311bb0,0.423138
f939c817,0.069934
956adc4d,0.999939
f8a119f5,0.661676
61faa1ad,0.112331
6725eb3e,0.000056
17b3a8fd,0.000004
49a88dfc,0.000000
2d6ec645,0.101358
0d4d77ba,0.292743
3ee672a2,0.999997
738b41fd,0.099243
f7fb320d,0.266447
b42fad18,0.000000
4ab8b00a,0.211257
f7870f2b,0.024888
4978666a,0.567879
f1b0d6c7,0.000000
5642407f,0.000233
36d4ff92,0.998681
4139aba2,0.317984
7585ce58,0.409447
33e25984,0.999882
ac46f3c9,0.010097
fc34a5b8,0.758474
85c36a8f,0.115399
b2d8a426,0.216321
13ec60d1,0.773183
9d440f42,0.001070
1c0a891e,0.517709
981c3bc3,0.999984
295604f4,0.347231
16ca16c3,0.012919
b4dda837,0.069659
88d088ef,0.000020
1b4fa160,0.161377
f371bd82,0.000000
b130a0b7,0.999959
ebf1de82,0.092295
01e651c3,0.002101
51b1fecc,0.136393
fa635a31,0.001130
97b7d789,0.016586
2f598053,0.000944
c0e3e148,0.075666
cfa175a8,0.084163
3d7e09d8,0.979744
44a13d1b,0.984366
c66b0948,0.161819
976a6d64,0.001567
8bbd8909,0.629523
522890fd,0.071417
f23a3b95,0.311981
680039dc,0.074360
93028e53,0.005172
22a16932,0.123456
7d8126d2,0.000504
ba2ecd75,0.000000
8071bdd7,0.066543
96d5aeee,0.000000
154be68f,0.898627
d8c2bfe2,0.999862
f76d47b0,0.191151
0e781ade,0.000000
13cf6060,0.000000
cd99f710,0.101303
d10005bb,0.000005
3a31445f,0.999995
3157202d,0.001442
6ee64703,0.272149
e5de8685,0.151308
02cc70ba,0.000001
50984a87,0.615182
fa94957a,0.999920
eab406b4,0.465767
3ad39398,0.656384
9ecf3802,0.090460
6048ae7b,0.000000
9dc68871,0.000001
13701465,0.214982
8d8779f3,0.000000
0712f269,0.041164
722c2597,0.000000
478a2b08,0.298629
38f5fb41,0.230048
c52ad74d,0.999160
0c85fd09,0.000000
f1582cba,0.857506
ff836697,0.893466
ddfe4802,0.000923
3cef3bc7,0.999861
6a21542b,0.081309
150e23c4,0.999950
078c6d99,0.947928
1dcd1dc3,0.000002
39967e45,0.191370
6b6333aa,0.003710
4ae61433,0.049395
f96362e0,0.001880
97a88aac,0.008249
427ae8ce,0.007833
209d4b15,0.038047
64b453bd,0.000000
0f5a484e,0.339834
5ac74969,0.771772
736ed43e,0.343653
8533795f,0.014399
f5b54fb6,0.254834
6eb4c041,0.253750
97afdf42,0.769367
1bb488db,0.029264
f132e44d,0.000996
d3c2f140,0.123482
1756794d,0.427066
9efcc11f,0.000000
14c966cf,0.554213
59cfe4d1,0.239099
883151f4,0.013008
34c4c9ff,0.054942
70b4c2eb,0.484377
96a337d9,0.140683
7fe89ffa,0.301229
057c7a22,0.000000
451cc057,0.000005
05076700,0.000000
dc52f6c1,0.000025
b03a59f9,0.000023
129ed4b0,0.112833
fb611563,0.999939
ac32e6f1,0.081561
c05c5ab0,0.117902
3163d5ed,0.000001
02096ca4,0.083960
e92496c0,0.000000
1a9e2c50,0.996243
0864e334,0.884295
d976faeb,0.159580
1d7b342f,0.000002
281bc1ea,0.000000
bea9f0cf,0.264373
f4afa0e6,0.000000
e1b5ef69,0.153014
b50539fd,0.002388
2a8c9c15,0.428361
157ebb0c,0.998774
247d3614,0.001669
0c6cc0cb,0.033224
aae88d39,0.001619
0c77b464,0.137797
963cf5ea,0.111485
1b371d8b,0.920019
225bc00f,0.000000
bc0a4eec,0.000584
1099782e,0.057240
a18feadd,0.999288
ad7f4932,0.001158
5f8f831e,0.625507
b5167c35,0.000001
0230b06d,0.162022
f8d7f7ba,0.000005
08bd1053,0.017048
58e4dc8c,0.000000
4793ce8e,0.200243
304caab4,0.000000
f2ee6d7f,0.480252
e1f9c0e4,0.083632
8e40401c,0.273997
5d9eaba2,0.173635
55e7562c,0.000117
9da6cb4b,0.000000
c3c1c8ec,0.000000
3b38698e,0.007576
6c9eb909,0.014727
482a3d1d,0.002284
0e9918f0,0.582920
ef894fd2,0.000000
4b82e7f7,0.999983
b9cdd7fb,0.000000
94a496f4,0.011997
995eacae,0.237769
41b02e58,0.999235
69f04617,0.071010
c889a03c,0.999998
91f98acf,0.999963
9135c19f,0.999987
1f0e9c09,0.000000
260d6e8e,0.000000
46334397,0.000001
f34ddf31,0.000113
4d6177d7,0.552641
76a57270,0.305137
217b8cea,0.000073
9a45a566,0.000633
1b55c75e,0.000000
7bd92ec6,0.999912
6c409f41,0.257328
df3e48eb,0.002622
62723e57,0.000000
b8e627bf,0.000003
86bb5d85,0.016420
77e5034c,0.425203
607079e5,0.345813
96879fb4,0.001319
6afe606d,0.694021
4129802f,0.951893
a42300ef,0.176152
1af842f5,0.979463
3fe57d78,0.999999
f4e60ed5,0.999721
68c8337b,0.095948
914ed5b5,0.109168
a6bb5987,0.492273
c781c439,0.002198
47a1a25e,0.013165
80ea0713,0.967619
a9d001bc,0.001215
f94d098a,0.003828
3e230e0e,0.007325
24afa485,0.000000
bc37db7f,0.168973
83f99e4d,0.000000
1a8d86f7,0.000104
38136419,0.541496
d393e637,0.210604
36902570,0.997885
327f7b25,0.999445
3f8543c6,0.043883
a0d42a70,0.567305
e07ba430,0.236816
c6e53803,0.151373
fec4dad8,0.058636
933fc5ba,0.177538
